ID,OEM,Model,Description,Image,Voltage,Minimum_Battery_Weight,Battery_Connector,Lead_Length,Termination,Length,Width,Height
77689,LINDE,E40,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e35.jpg,80,4562.0,SB-350 Yellow,30.0,A,40.5,39.5,31.0
77690,LINDE,E45,Sit-Down Rider Pneumatic Electric,http://www.EQGURU.com/images/L/T_717/e35.jpg,80,4562.0,SB-350 Yellow,30.0,A,40.5,39.5,31.0
77691,LINDE,E30B,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e20-30b.jpg,36,3350.0,SB-350 Gray,30.0,A,39.1,30.3,31.2
77692,LINDE,E30B,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e20-30b.jpg,48,3350.0,SB-350,30.0,A,39.1,30.3,31.2
77693,LINDE,E30C,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e_c600.jpg,36,2740.0,SB-350 Gray,30.0,A,38.7,34.3,23.4
77694,LINDE,E30C,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e_c600.jpg,48,2740.0,SB-350 Blue,30.0,A,38.7,34.3,23.4
77695,LINDE,E40B,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e40b.jpg,36,3770.0,SB-350 Gray,30.0,A,39.1,33.2,31.2
77696,LINDE,E40B,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e40b.jpg,48,3770.0,SB-350,30.0,A,39.1,33.2,31.2
77697,LINDE,E25C/600,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e_c600.jpg,36,1942.0,SB-350 Gray,30.0,A,38.7,30.3,23.4
77698,LINDE,E25C/600,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e_c600.jpg,48,1942.0,SB-350 Blue,30.0,A,38.7,30.3,23.4
77699,LINDE,E30C/600,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e_c600.jpg,48,3060.0,SB-350 Blue,30.0,A,38.7,34.3,23.4
77700,LINDE,E30C/600,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e_c600.jpg,36,3060.0,SB-350 Gray,30.0,A,38.7,34.3,23.4
77701,LINDE,E30P,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e25-30.jpg,80,3046.0,SB-350 Yellow,30.0,A,40.7,33.9,26.7
77702,LINDE,E30P/600,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e25-30.jpg,80,3893.0,SB-350 Yellow,30.0,A,40.7,33.9,33.0
77703,LINDE,E25P,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e25-30.jpg,80,3046.0,SB-350 Yellow,30.0,A,40.7,33.9,26.7
77704,LINDE,E25P/600,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_717/e25-30.jpg,80,3893.0,SB-350 Yellow,30.0,A,40.7,33.9,33.0
77705,LINDE,E15,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_717/E15.jpg,24,1490.0,SB-350 Red,30.0,A,32.67,20.1,25.5
77706,LINDE,E15C,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_717/E18C.jpg,48,2075.0,SB-350 Blue,30.0,A,32.75,21.0,30.75
77707,LINDE,E15S,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_717/E15.jpg,36,2233.0,SB-350 Gray,30.0,A,32.67,29.29,24.5
77708,LINDE,E15S,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_717/E15.jpg,48,2233.0,SB-350 Blue,30.0,A,32.67,29.29,24.5
77709,LINDE,E16,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_717/E15.jpg,36,2233.0,SB-350 Gray,30.0,A,32.67,28.3,24.5
77710,LINDE,E16,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_717/E15.jpg,48,2233.0,SB-350 Blue,30.0,A,32.67,28.3,24.5
77711,KOMATSU,FB15SH-7,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx.jpg,36,1940.0,SB-350 Gray,14.0,B,36.2,27.0,24.2
77712,KOMATSU,FB18SH-7,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx.jpg,36,1940.0,SB-350 Gray,14.0,B,36.2,27.0,24.2
77713,KOMATSU,FB18SH-7,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/abx.jpg,48,1940.0,SB-350 Blue,14.0,B,36.2,27.0,24.2
77714,KOMATSU,FB20S-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/bx4-6.jpg,36,2300.0,SB-350 Gray,18.0,B,39.2,28.0,24.0
77715,KOMATSU,FB18M-2,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_716/xx23-wheel.jpg,24,1740.0,SB-350 Red,NULL,NULL,39.2,20.6,24.0
77716,KOMATSU,FB18MK-2,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_716/xx23-wheel.jpg,36,1740.0,SB-350 Gray,NULL,NULL,39.2,20.6,24.0
77718,KOMATSU,FB15M-2,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_716/xx23-wheel.jpg,24,1565.0,SB-350 Red,NULL,NULL,39.2,20.6,24.0
77719,KOMATSU,FB15MK-2,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_716/xx23-wheel.jpg,36,1570.0,SB-350 Gray,NULL,NULL,39.2,20.6,24.0
77720,KOMATSU,FR18S-2A,Narrow Aisle Single Reach,http://www.EQGURU.com/images/L/T_716/fr3reach.jpg,36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77721,KOMATSU,FR18S-2A,Narrow Aisle Single Reach,http://www.EQGURU.com/images/L/T_716/fr3reach.jpg,24,2000.0,SB-350 Red,15.0,C,38.75,16.4,32.0
77722,KOMATSU,FR23S-2A,Narrow Aisle Single Reach,http://www.EQGURU.com/images/L/T_716/fr3reach.jpg,36,2000.0,SB-350 Gray,15.0,C,38.7,16.4,32.0
77723,KOMATSU,FR15DR-2A,Narrow Aisle Double Reach,http://www.EQGURU.com/images/L/T_716/fr5doublereach.jpg,36,2000.0,SB-350 Gray,15.0,C,38.75,16.4,32.0
77724,KOMATSU,MPF15-1A,Counterbalanced Order Picker,http://www.EQGURU.com/images/L/T_716/mp.jpg,24,1300.0,SB-350 Red,18.0,B,36.25,13.88,31.5
77725,KOMATSU,MPF15-1A,Counterbalanced Order Picker,http://www.EQGURU.com/images/L/T_716/mp.jpg,36,1300.0,SB-350 Gray,15.0,B,38.25,13.88,31.5
77726,KOMATSU,MWL22-1A,Walkie Low-Lift Pallet,http://www.EQGURU.com/images/L/T_716/mw7301.jpg,24,200.0,SB-175 Red,15.0,B,28.25,9.0,24.0
77727,KOMATSU,MWL22-2A,Walkie Low-Lift Pallet,http://www.EQGURU.com/images/L/T_716/mw7301.jpg,24,200.0,SB-175 Red,15.0,B,28.25,9.0,24.0
77731,KOMATSU,MWE31-1A,Walkie/Ride Low-Lift Pallet,http://www.EQGURU.com/images/L/T_716/mw7303.jpg,24,400.0,SB-175 Red,15.0,B,31.75,13.3,24.0
77732,KOMATSU,MWE36-1A,Walkie/Ride Low-Lift Pallet,http://www.EQGURU.com/images/L/T_716/mw7303.jpg,24,400.0,SB-175 Red,15.0,B,31.75,13.3,24.0
77733,KOMATSU,MWH15R-1A,3-Wheel Rider Electric,http://www.EQGURU.com/images/,24,980.0,SB-175 Red,15.0,B,32.3,13.3,24.0
77734,KOMATSU,MWH20-1A,3-Wheel Rider Electric,http://www.EQGURU.com/images/,24,980.0,SB-175 Red,15.0,B,32.3,13.3,24.0
77735,KOMATSU,MWH15-1A,3-Wheel Rider Electric,http://www.EQGURU.com/images/,24,980.0,SB-175 Red,15.0,B,32.3,13.3,24.0
77736,KOMATSU,MWH15C-1A,3-Wheel Rider Electric,http://www.EQGURU.com/images/,24,980.0,SB-175 Red,15.0,B,32.3,13.3,24.0
77737,KOMATSU,MWH20C-1A,3-Wheel Rider Electric,http://www.EQGURU.com/images/,24,980.0,SB-175 Red,15.0,B,32.3,13.3,24.0
77738,KOMATSU,MWH10C-1A,3-Wheel Rider Electric,http://www.EQGURU.com/images/,24,980.0,SB-175 Red,15.0,B,32.3,13.3,24.0
77746,HYSTER,W30ZR,Walkie High-Lift Reach,http://www.EQGURU.com/images/L/T_712/zr.jpg,24,600.0,SB-175 Red,20.0,B,33.0,13.5,24.0
77749,CLARK,NSR22,High-Lift Straddle-Type,http://www.EQGURU.com/images/L/T_706/nsr.jpg,24,1590.0,NULL,14.0,B,38.75,13.38,32.0
77770,KOMATSU,FB18M-3,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_716/kom_ac_3.jpg,48,1570.0,SB-350 Blue,14.0,B,38.8,21.3,24.0
77773,KOMATSU,FB18MG-3,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_716/kom_ac_3.jpg,36,2160.0,SB-350 Gray,14.0,B,39.0,25.0,24.0
77781,CLARK,TMX15,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_706/tmx.jpg,36,2590.0,SB-350 Gray,18.0,A,38.8,20.5,31.0
77784,CLARK,TMX25,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_706/tmx.jpg,36,2590.0,SB-350 Gray,18.0,A,38.8,20.5,31.0
77826,YALE,MSW030-E,Walkie High-Lift Straddle,http://www.EQGURU.com/images/L/T_726/msw-e.jpg,24,400.0,SB-175 Red,20.0,B,33.0,13.5,24.0
77851,HYSTER,N50XMA3,High-Lift Straddle-Type,http://www.EQGURU.com/images/L/T_712/N50XMA2.jpg,24,1250.0,SB-350 Red,16.0,B,38.88,12.5,31.18
77853,KOMATSU,FB20S-5,Sit-Down Rider Cushion Electric,http://www.EQGURU.com/images/L/T_716/bx4-6.jpg,48,2300.0,SB-350 Blue,18.0,B,39.2,28.0,24.0
