ID,CategoryID,OptionID,Description,Plate_AH_Rating,CELL,TYPE,PLATES,Total_AH_Rating,VOLTAGE,Battery_Weight
143,BASE_PART_IB,56-1920,18 CELL 125 AH 19 PLT-1125 AH,125,18,110-125-145,19,1125,36,3210
144,BASE_PART_IB,56-1930,18 CELL 125 AH 21 PLT-1250 AH,125,18,110-125-145,21,1250,36,3640
145,BASE_PART_IB,56-1940,18 CELL 125 AH 23 PLT-1375 AH,125,18,110-125-145,23,1375,36,3980
146,BASE_PART_IB,56-1950,18 CELL 125 AH 25 PLT-1500 AH,125,18,110-125-145,25,1500,36,4270
147,BASE_PART_IB,56-1960,18 CELL 125 AH 27 PLT-1625 AH,125,18,110-125-145,27,1625,36,4560
148,BASE_PART_IB,56-2100,18 CELL 100 AH 07 PLT - 300 AH,100,18,90-100,7,300,36,1080
149,BASE_PART_IB,56-2110,18 CELL 100 AH 09 PLT - 400 AH,100,18,90-100,9,400,36,1300
150,BASE_PART_IB,56-2120,18 CELL 100 AH 11 PLT - 500 AH,100,18,90-100,11,500,36,1530
151,BASE_PART_IB,56-2130,18 CELL 100 AH 13 PLT - 600 AH,100,18,90-100,13,600,36,1880
152,BASE_PART_IB,56-2140,18 CELL 100 AH 15 PLT - 700 AH,100,18,90-100,15,700,36,2110
153,BASE_PART_IB,56-2150,18 CELL 100 AH 17 PLT - 800 AH,100,18,90-100,17,800,36,2400
154,BASE_PART_IB,56-2160,18 CELL 100 AH 19 PLT - 900 AH,100,18,90-100,19,900,36,2610
155,BASE_PART_IB,56-2170,18 CELL 100 AH 21 PLT-1000 AH,100,18,90-100,21,1000,36,2850
156,BASE_PART_IB,56-2180,18 CELL 100 AH 23 PLT-1100 AH,100,18,90-100,23,1100,36,3120
157,BASE_PART_IB,56-2190,18 CELL 100 AH 25 PLT-1200 AH,100,18,90-100,25,1200,36,3370
158,BASE_PART_IB,56-2360,18 CELL 100 AH 27 PLT-1300 AH,100,18,90-100,27,1300,36,3620
159,BASE_PART_IB,56-2370,18 CELL 100 AH 29 PLT-1400 AH,100,18,90-100,29,1400,36,3870
160,BASE_PART_IB,56-2380,18 CELL 100 AH 31 PLT-1500 AH,100,18,90-100,31,1500,36,4130
161,BASE_PART_IB,56-2390,18 CELL 100 AH 33 PLT-1600 AH,100,18,90-100,33,1600,36,4380
162,BASE_PART_IB,57-1000,24 CELL 45 AH 05 PLT - 90 AH,45,24,45,5,90,48,432
163,BASE_PART_IB,57-1010,24 CELL 45 AH 07 PLT - 135 AH,45,24,45,7,135,48,600
164,BASE_PART_IB,57-1030,24 CELL 45 AH 11 PLT - 225 AH,45,24,45,11,225,48,1008
165,BASE_PART_IB,57-1040,24 CELL 45 AH 13 PLT - 270 AH,45,24,45,13,270,48,1160
166,BASE_PART_IB,57-1050,24 CELL 45 AH 15 PLT - 315 AH,45,24,45,15,315,48,1350
167,BASE_PART_IB,57-1070,24 CELL 45 AH 19 PLT - 405 AH,45,24,45,19,405,48,1776
168,BASE_PART_IB,57-1100,24 CELL 45 AH 25 PLT - 540 AH,45,24,45,25,540,48,2360
169,BASE_PART_IB,57-1440,24 CELL 85 AH 05 PLT - 170 AH,85,24,75-85-105,5,170,48,320
170,BASE_PART_IB,57-1450,24 CELL 85 AH 07 PLT - 255 AH,85,24,75-85-105,7,255,48,1200
171,BASE_PART_IB,57-1460,24 CELL 85 AH 09 PLT - 340 AH,85,24,75-85-105,9,340,48,1520
172,BASE_PART_IB,57-1470,24 CELL 85 AH 11 PLT - 425 AH,85,24,75-85-105,11,425,48,1880
173,BASE_PART_IB,57-1480,24 CELL 85 AH 13 PLT - 510 AH,85,24,75-85-105,13,510,48,2070
174,BASE_PART_IB,57-1490,24 CELL 85 AH 15 PLT - 595 AH,85,24,75-85-105,15,595,48,2430
175,BASE_PART_IB,57-1500,24 CELL 85 AH 17 PLT - 680 AH,85,24,75-85-105,17,680,48,2760
176,BASE_PART_IB,57-1510,24 CELL 85 AH 19 PLT - 765 AH,85,24,75-85-105,19,765,48,3100
177,BASE_PART_IB,57-1520,24 CELL 85 AH 21 PLT - 850 AH,85,24,75-85-105,21,850,48,3390
178,BASE_PART_IB,57-1530,24 CELL 85 AH 23 PLT - 935 AH,85,24,75-85-105,23,935,48,3750
179,BASE_PART_IB,57-1540,24 CELL 85 AH 25 PLT - 1020 AH,85,24,75-85-105,25,1020,48,4040
